id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
0,-102.934600830078,14.8605403900146,0,0,0,0.283713759069174,0.957892260256433
1,-99.658805847168,17.2530765533447,0,0,0,0.289403928377512,0.956052630132969
2,-96.2979888916016,19.5775966644287,0,0,0,0.278147206994432,0.959201904611271
3,-92.8888397216797,21.7121658325195,0,0,0,0.276855040812299,0.959687870339832
4,-89.5311508178711,23.9479923248291,0,0,0,0.288176082945646,0.956258640998245
5,-86.0962448120117,26.1420974731445,0,0,0,0.249696341215147,0.966891020227239
6,-82.8608703613281,28.4900360107422,0,0,0,0.271688516523087,0.960472700087004
7,-79.6266403198242,30.8560028076172,0,0,0,0.268905622601865,0.961199337091725
8,-76.4205017089844,33.2994232177734,0,0,0,0.285621545346967,0.956515971450747
9,-72.9898986816406,35.5652656555176,0,0,0,0.260665933600729,0.963628258122033
10,-69.6312026977539,37.8302612304687,0,0,0,0.276855021555274,0.959072202246232
11,-66.2218399047852,39.9536514282227,0,0,0,0.268668456752544,0.961434576905848
12,-62.8292503356934,42.2090950012207,0,0,0,0.29887367319577,0.952531473435782
13,-59.4867897033691,44.4846839904785,0,0,0,0.272756606062694,0.960836381941859
14,-56.0915260314941,46.6750679016113,0,0,0,0.237541000577361,0.969890346314241
15,-52.7358512878418,48.9269752502441,0,0,0,0.292669175863528,0.954570198344744
16,-49.3246078491211,51.0935134887695,0,0,0,0.243555142689703,0.968204698600589
17,-45.7102508544922,52.9621963500977,0,0,0,0.20781372961949,0.976577300913228
18,-42.0959587097168,54.7876930236816,0,0,0,0.205223866503374,0.977177441578461
19,-38.3829116821289,56.4943351745606,0,0,0,0.204492754760006,0.977305968520213
20,-34.6347961425781,58.1196708679199,0,0,0,0.181138829451685,0.982047121379485
21,-30.8933181762695,59.5707550048828,0,0,0,0.154268666957022,0.986845050983048
22,-27.1036586761475,60.8751258850098,0,0,0,0.18721796448264,0.980923216765297
23,-23.2908954620361,62.3659744262695,0,0,0,0.146447576853956,0.987630049073272
24,-19.4344348907471,63.5564117431641,0,0,0,0.139612454494318,0.98877002857337
25,-15.627347946167,64.8973770141602,0,0,0,0.146811383572743,0.987605116174844
26,-11.70751953125,65.9145202636719,0,0,0,0.0708642799195126,0.995937686737014
27,-7.7092022895813,66.6532516479492,0,0,0,0.0551218346754375,0.996904447174427
28,-3.73805713653564,67.4072189331055,0,0,0,0.100333255285986,0.993399765567568
29,0.236001923680305,68.0150604248047,0,0,0,0.0650038931562471,0.995781636425825
30,4.2484302520752,68.7567825317383,0,0,0,0.048650705714502,0.997197583003219
31,8.29013729095459,69.0119476318359,0,0,0,-0.00864342745522045,0.998597017717693
32,12.3439359664917,68.6685028076172,0,0,0,-0.0876039997682024,0.994388437018488
33,16.3053951263428,67.8103408813477,0,0,0,-0.1756553726183,0.983059852294344
34,19.9469108581543,66.0900802612305,0,0,0,-0.271377938395849,0.960888621009784
35,23.2474498748779,63.68359375,0,0,0,-0.346839209834934,0.935334709176551
36,26.2557258605957,60.9349594116211,0,0,0,-0.410752412681456,0.910229119261195
37,28.6676406860352,57.6409225463867,0,0,0,-0.516678023446715,0.854559022741944
38,30.1277942657471,53.9050521850586,0,0,0,-0.624548948009628,0.780149956148149
39,30.8404273986816,49.8862228393555,0,0,0,-0.655807392853144,0.754316292566659
40,31.6590137481689,45.9000282287598,0,0,0,-0.637274076620728,0.769849408889421
41,32.5511856079102,41.9457626342773,0,0,0,-0.636490103644381,0.770678688605442
42,33.255184173584,37.9544715881348,0,0,0,-0.651956997429781,0.757473719958542
43,34.2218322753906,34.0466270446777,0,0,0,-0.606577882336365,0.79457711375299
